Alamosa;8846;62;0;6;6;50;538;73;447;18;0;
Arvada;105932;193;0;31;42;120;3202;539;2303;360;13;
Aspen;5914;19;0;2;2;15;408;43;351;14;2;
Ault;1452;11;1;0;0;10;49;13;31;5;1;
Aurora;302855;1858;17;217;600;1024;12805;2470;8292;2043;116;
Avon;6469;14;0;3;2;9;250;44;192;14;1;
Basalt;3064;14;0;1;0;13;38;4;26;8;0;
Bayfield;1670;4;0;0;0;4;37;12;24;1;0;
Berthoud;5151;4;0;0;2;2;101;26;73;2;3;
Black Hawk;109;8;0;0;4;4;169;1;164;4;0; 
Boulder;93418;229;1;35;29;164;3016;487;2372;157;72;
Bow Mar;823;1;0;0;1;0;5;0;5;0;0;
Brighton;28543;115;0;15;14;86;1188;206;855;127;10;
Broomfield;44300;40;0;8;9;23;1439;128;1202;109;13;
Brush;5284;22;0;1;2;19;184;38;142;4;0;
Buena Vista;2215;0;0;0;0;0;6;3;3;0;0;
Burlington;3559;8;0;2;0;6;108;20;85;3;0;
Campo;138;0;0;0;0;0;0;0;0;0;0; 
Canon City;16302;129;0;13;7;109;778;101;647;30;10;
Carbondale;5935;10;0;1;1;8;174;13;144;17;0;
Castle Rock;36421;42;2;0;3;37;525;107;367;51;14;
Cedaredge;2189;0;0;0;0;0;26;5;20;1;0;
Centennial;100100;180;0;25;36;119;1618;340;1122;156;37;
Center;2544;2;0;0;0;2;22;3;17;2;0;
Central City;500;8;0;1;0;7;49;2;46;1;0;
Collbran;416;2;0;0;0;2;1;1;0;0;0;
Colorado Springs;376807;2145;15;251;612;1267;18076;3347;12940;1789;115;
Columbine Valley;1243;0;0;0;0;0;16;5;10;1;0;
Commerce City;34835;177;2;14;27;134;1664;401;1005;258;5;
Cortez;8400;24;0;0;2;22;312;32;269;11;0;
Craig;9316;20;0;9;0;11;236;43;178;15;6;
Crested Butte;1575;3;0;1;1;1;56;6;43;7;0; 
Cripple Creek;1085;27;0;4;1;22;101;22;75;4;0;
Dacono;3596;17;0;1;1;15;76;16;39;21;2;
De Beque;481;0;0;0;0;0;16;9;7;0;0;
Delta;8289;50;2;6;2;40;312;89;205;18;7;
Denver;568465;4325;51;342;1280;2652;26266;6543;13376;6347;198;
Dillon;789;7;0;1;0;6;77;3;74;0;0;
Durango;15794;128;1;27;4;96;947;100;800;47;0;
Eagle;4357;2;0;0;0;2;106;19;84;3;0; 
Eaton;4006;2;0;1;0;1;49;19;30;0;0;
Edgewater;5310;26;1;1;10;14;330;27;256;47;2;
Empire;345;3;0;0;0;3;5;0;5;0;0;
Englewood;32962;307;3;30;54;220;2117;369;1338;410;8;
Erie;12585;8;0;3;0;5;187;60;109;18;5;
Estes Park;5922;14;0;2;0;12;165;33;125;7;0;
Evans;17800;36;0;4;6;26;646;164;404;78;10;
Federal Heights;11927;32;0;10;11;11;663;84;500;79;7;
Firestone;6531;18;0;3;1;14;269;66;187;16;1;
Florence;3755;11;0;3;1;7;73;9;53;11;1;
Fort Collins;130446;493;0;76;36;381;4570;701;3585;284;24;
Fort Lupton;7256;22;0;4;5;13;232;51;158;23;8;
Fort Morgan;11049;19;1;1;4;13;373;50;311;12;2;
Fountain;19442;24;1;11;12;0;597;134;409;54;5;
Fraser/Winter Park;1634;17;0;1;0;16;120;30;82;8;0; 
Frederick;6745;19;0;0;1;18;162;6;144;12;0;
Frisco;2464;32;0;0;0;32;4;1;3;0;0;
Fruita;7008;20;0;3;2;15;191;32;147;12;1;
Glenwood Springs;8726;40;0;7;1;32;553;61;449;43;3;
Grand Junction;46155;288;3;37;39;209;2850;440;2176;234;26;
Greeley;89252;467;2;53;50;362;4324;841;3163;320;30;
Green Mountain Falls;799;12;0;0;0;12;36;13;22;1;0; 
Greenwood Village;13059;24;0;4;7;13;566;83;427;56;7;
Gunnison;5398;17;0;5;0;12;317;40;262;15;4;
Hayden;1568;6;0;0;0;6;30;3;24;3;0;
Hotchkiss;1063;28;0;2;1;25;36;10;22;4;0;
Idaho Springs;1841;21;0;2;0;19;80;6;66;8;0;
Ignacio;692;1;0;0;0;1;3;1;2;0;0;
Johnstown;7387;17;1;1;1;14;175;39;128;8;3;
Kersey;1427;5;0;0;0;5;45;8;32;5;0;
Kiowa;607;8;0;0;0;8;22;7;14;1;0;
Kremmling;1583;6;0;0;1;5;18;1;13;4;0; 
Lafayette;24336;54;0;4;6;44;514;81;404;29;9;
